;2rbina2rista;basta;brb;eldzhey;face;feduk;gnoiny;guf;husky;kasta;korzh;krovostok;kunteynir;lizer;lsp;morgenshtern;noizemc;skriptonite;timati;xleb
('ш', 'о', 'в');0;0;0;0;0;0;0;0;19,37533907;7,040468614;0;0;0;0;0;0;0;0;0;0
('о', 'с', 'с');66,6888963;232,9047885;1940,417761;58,19028222;227,5727095;0;310,6554831;19,71958747;561,884833;98,56656059;14,61432789;274,7977489;150,7977199;16,68975416;0;0;102,834813;39,67781613;0;324,4435793
('у', 'є', 'т');0;0;0;0;0;0;0;0;0;7,040468614;0;0;0;0;0;0;0;0;0;0
('О', ' ', 'в');0;0;0;0;0;0;0;0;0;0;0;10,99190995;0;0;0;0;0;0;0;0
('Р', 'е', 'в');0;23,29047885;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39,53663069;0
('Л', 'С', 'П');0;0;0;0;0;0;0;0;0;0;0;0;0;0;170,2236313;0;0;0;0;0
('а', 'х', '?');66,6888963;0;0;58,19028222;22,75727095;0;0;0;19,37533907;49,2832803;0;0;0;0;0;0;0;52,90375484;0;0
('-', 'а', 'й');0;0;0;58,19028222;0;0;0;0;0;0;0;0;0;0;0;0;5,713045167;0;0;0
('л', 'с', 'я');200,0666889;652,1334079;798,9955485;58,19028222;318,6017933;459,8969831;202,601402;749,3443237;484,3834767;577,3184263;496,8871482;791,4175167;603,1908798;350,4848374;276,6134009;485,8929092;354,2088004;317,4225291;474,4395683;519,1097268
('У', ')', '\n');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32,39286061;0;13,22593871;0;0
('в', 'у', ',');0;46,5809577;0;0;0;91,97939662;0;0;329,3807642;7,040468614;29,22865577;32,97572986;30,15954399;16,68975416;0;32,39286061;62,84349684;26,45187742;0;0
('\n', 'М', 'у');0;34,93571828;684,8533272;58,19028222;91,02908379;0;202,601402;19,71958747;135,6273735;42,24281168;29,22865577;54,95954977;60,31908798;0;42,55590782;32,39286061;51,41740651;0;39,53663069;0
('н', 'д', ',');0;11,64523943;0;0;22,75727095;0;0;0;0;0;0;10,99190995;0;0;0;0;0;0;39,53663069;0
('-', 'в', 'ы');0;0;0;0;0;0;0;0;0;0;0;0;0;33,37950832;0;0;0;0;0;0
('г', 'р', '\n');0;0;0;0;0;0;0;0;0;49,2832803;0;0;0;0;0;0;11,42609033;26,45187742;0;0
('.', ' ', '«');0;0;0;0;0;0;0;0;0;14,08093723;0;10,99190995;0;0;0;0;0;0;0;0
(' ', 'О', 'р');0;0;0;0;0;0;0;39,43917493;19,37533907;0;0;0;0;0;0;0;85,69567751;13,22593871;0;0
('\n', 'И', 'ю');0;0;0;0;0;0;0;0;0;7,040468614;0;0;0;0;0;0;0;0;0;0
(' ', 'А', 'х');0;0;0;0;0;0;0;0;0;0;0;0;30,15954399;0;0;0;0;13,22593871;0;0
('и', '\n', 'Т');66,6888963;186,3238308;0;116,3805644;45,5145419;183,9587932;81,0405608;78,87834986;135,6273735;154,8903095;102,3002952;219,8381991;120,638176;100,138525;42,55590782;161,9643031;108,5478582;92,58157098;316,2930455;64,88871585
('О', 'А', ',');0;0;0;0;0;0;0;0;0;0;0;10,99190995;0;0;0;0;0;0;0;0
(':', ' ', 'ж');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39,99131617;0;0;0
('о', 'п', 'н');0;23,29047885;0;0;0;91,97939662;13,50676013;0;0;14,08093723;14,61432789;0;60,31908798;0;0;0;39,99131617;0;39,53663069;0
('а', 'ж', ' ');0;11,64523943;0;0;0;0;27,01352027;19,71958747;19,37533907;42,24281168;0;0;0;0;0;0;17,1391355;0;0;0
('к', 'н', 'о');600,2000667;151,3881125;0;58,19028222;22,75727095;183,9587932;67,53380067;59,1587624;329,3807642;77,44515475;73,07163944;21,98381991;30,15954399;16,68975416;21,27795391;32,39286061;91,40872268;277,7447129;0;0
('а', 'я', 'л');0;0;0;0;0;0;13,50676013;0;0;14,08093723;0;21,98381991;0;0;21,27795391;0;5,713045167;0;0;0
('Б', 'р', 'ю');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,713045167;0;0;0
('н', 'у', 'а');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,22593871;0;0
('р', 'ы', '!');0;0;0;0;0;0;0;19,71958747;0;0;0;10,99190995;0;0;0;0;11,42609033;0;39,53663069;0
('з', 'ч', 'и');0;0;0;0;0;0;0;19,71958747;0;0;0;10,99190995;0;0;0;0;0;0;0;0
('ч', 'е', '!');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,713045167;0;0;0
('к', 'а', 'п');0;46,5809577;0;58,19028222;0;0;67,53380067;39,43917493;38,75067814;140,8093723;29,22865577;98,92718959;60,31908798;50,06926248;234,057493;0;148,5391744;158,7112645;39,53663069;0
('к', 'с', 'ю');0;0;0;0;22,75727095;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
('ю', ' ', 'е');0;34,93571828;0;0;136,5436257;0;27,01352027;0;19,37533907;35,20234307;29,22865577;65,95145973;60,31908798;33,37950832;106,3897696;0;17,1391355;119,0334484;0;0
('к', ' ', 'У');0;0;0;58,19028222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
('р', 'а', 'ч');0;104,8071548;0;0;45,5145419;91,97939662;40,5202804;59,1587624;77,50135627;42,24281168;0;98,92718959;120,638176;150,2077874;85,11181565;64,78572123;108,5478582;39,67781613;79,07326138;0
('ф', 'у', ',');0;0;0;0;22,75727095;0;0;19,71958747;0;7,040468614;0;0;0;0;0;0;5,713045167;0;0;0
('и', 'и', '\n');133,3777926;81,51667598;0;0;22,75727095;0;40,5202804;118,3175248;19,37533907;98,56656059;29,22865577;76,94336968;301,5954399;0;0;32,39286061;74,26958718;52,90375484;197,6831534;64,88871585
('г', 'о', 'л');133,3777926;244,5500279;114,1422212;1047,42508;523,4172318;0;297,1487229;256,3546371;1240,0217;549,1565519;453,0441645;582,5712276;301,5954399;216,9668041;255,3354469;421,107188;411,339252;277,7447129;355,8296762;129,7774317
('д', 'м', 'ё');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,713045167;0;0;0
('В', 'ы', 'ж');0;0;0;0;0;0;0;0;0;0;0;10,99190995;0;0;0;0;0;0;0;0
('-', 'п', 'р');0;11,64523943;0;0;0;0;0;39,43917493;19,37533907;7,040468614;0;21,98381991;0;0;63,83386174;0;17,1391355;0;0;0
('\n', 'Е', 'в');0;11,64523943;0;0;0;0;13,50676013;0;0;0;0;0;0;0;0;0;0;39,67781613;0;0
('о', 'й', '?');66,6888963;0;114,1422212;0;0;0;27,01352027;0;0;42,24281168;29,22865577;0;0;16,68975416;0;129,5714425;22,85218067;52,90375484;0;0
('3', ' ', 'м');0;0;0;0;0;0;13,50676013;0;0;0;0;0;0;0;0;0;0;0;0;0
('в', '\n', 'Ж');0;11,64523943;0;0;22,75727095;0;0;0;0;0;0;0;0;0;0;0;5,713045167;0;0;0
('л', 'с', 'т');0;11,64523943;0;0;45,5145419;0;27,01352027;19,71958747;19,37533907;7,040468614;0;0;30,15954399;0;21,27795391;0;39,99131617;13,22593871;0;0
('”', '.', ' ');0;0;0;0;0;0;13,50676013;0;0;0;0;0;0;0;0;0;0;0;0;0
('\n', 'Т', 'ы');400,1333778;1152,878703;228,2844424;872,8542333;705,4753994;459,8969831;540,2704053;39,43917493;465,0081376;612,5207694;789,1737059;285,7896588;271,4358959;1084,83402;553,2268017;291,5357455;388,4870714;753,8785065;1660,538489;389,3322951
('З', 'м', 'е');0;0;0;0;0;0;13,50676013;0;0;14,08093723;0;0;30,15954399;0;0;0;0;0;0;0
('«', 'С', 'е');0;0;0;0;0;0;0;0;0;7,040468614;0;43,96763982;0;0;21,27795391;0;0;0;0;0
('ы', 'в', '.');0;0;0;0;0;0;0;0;19,37533907;0;0;0;0;0;0;0;0;0;0;0
('П', 'о', 'н');0;23,29047885;0;0;0;0;67,53380067;19,71958747;19,37533907;28,16187445;14,61432789;21,98381991;30,15954399;33,37950832;0;64,78572123;34,278271;0;0;0
('и', 'и', 'д');0;0;0;0;0;0;0;0;0;84,48562336;0;0;0;0;0;0;0;0;0;0
('ф', 'и', 'ш');0;11,64523943;0;0;0;0;0;0;0;7,040468614;14,61432789;0;0;0;0;0;11,42609033;0;0;0
('о', ',', 'а');0;0;0;0;0;0;13,50676013;0;0;0;0;0;0;0;0;0;0;0;0;0
('р', 'т', 'н');66,6888963;34,93571828;0;0;68,27181284;0;27,01352027;19,71958747;19,37533907;49,2832803;0;10,99190995;30,15954399;0;42,55590782;0;45,70436134;52,90375484;39,53663069;0
('е', 'й', 'о');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,22593871;0;0
(' ', 'э', 'ф');66,6888963;11,64523943;0;116,3805644;0;0;0;19,71958747;0;14,08093723;0;10,99190995;0;0;0;0;5,713045167;0;0;0
('ц', ' ', 'с');0;0;0;0;0;0;13,50676013;19,71958747;0;28,16187445;0;0;30,15954399;0;42,55590782;0;5,713045167;13,22593871;0;0
('И', ' ', 'о');0;93,16191541;342,4266636;0;0;367,9175865;27,01352027;157,7566997;19,37533907;35,20234307;0;43,96763982;30,15954399;83,4487708;85,11181565;32,39286061;45,70436134;26,45187742;39,53663069;0
('я', ' ', 'у');0;116,4523943;228,2844424;174,5708467;637,2035865;91,97939662;121,5608412;295,793812;135,6273735;112,6474978;189,9862625;197,8543792;150,7977199;283,7258207;574,5047556;64,78572123;199,9565809;92,58157098;553,5128296;324,4435793
('Е', 'С', 'П');0;0;0;0;22,75727095;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"(';', '\n', 'Н')";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39,53663069;0
('ы', 'в', 'у');0;0;0;0;0;0;0;0;0;21,12140584;0;0;0;0;0;0;5,713045167;0;0;0
('к', 'л', 'у');0;46,5809577;0;0;0;183,9587932;67,53380067;39,43917493;19,37533907;91,52609198;29,22865577;32,97572986;90,47863196;16,68975416;63,83386174;0;34,278271;105,8075097;158,1465228;648,8871585
('-', 'п', 'л');0;0;0;0;0;0;0;0;0;0;0;0;0;0;21,27795391;0;0;0;0;0
('к', 'а', 'е');0;46,5809577;0;58,19028222;0;0;108,0540811;59,1587624;19,37533907;56,32374891;73,07163944;43,96763982;0;233,6565582;63,83386174;97,17858184;17,1391355;26,45187742;39,53663069;129,7774317
('ю', 'й', 'м');0;0;0;0;0;0;0;0;0;0;0;21,98381991;0;0;0;0;0;0;0;0
('н', 'к', 'а');0;139,7428731;114,1422212;174,5708467;68,27181284;275,9381898;162,0811216;98,59793733;116,2520344;63,36421752;58,45731155;274,7977489;482,5527038;0;276,6134009;64,78572123;148,5391744;581,9413033;79,07326138;0
('а', 'д', 'т');0;0;0;0;0;0;0;0;0;0;0;10,99190995;0;0;0;0;0;0;0;0
('ц', 'а', 'е');0;0;0;58,19028222;0;0;0;0;38,75067814;7,040468614;0;0;0;0;0;0;0;0;0;0
('з', 'а', 'л');66,6888963;232,9047885;114,1422212;116,3805644;182,0581676;91,97939662;229,6149223;690,1855613;445,6327986;380,1853051;467,6584924;307,7734787;331,7549839;417,243854;106,3897696;97,17858184;297,0783487;304,1965904;197,6831534;843,5533061
('М', 'е', 'л');0;11,64523943;0;0;0;0;0;0;0;28,16187445;0;21,98381991;0;0;0;0;11,42609033;0;0;0
('ж', ' ', 'я');0;0;0;0;0;0;0;0;0;14,08093723;0;0;0;0;0;0;0;0;0;0
('о', 'ж', ' ');0;0;114,1422212;0;22,75727095;0;13,50676013;0;0;21,12140584;0;0;30,15954399;33,37950832;21,27795391;0;0;13,22593871;0;0
('л', 'в', 'и');0;0;0;0;0;0;27,01352027;0;0;0;0;0;0;0;0;0;0;0;0;0
('з', 'в', 'е');800,2667556;104,8071548;342,4266636;58,19028222;113,7863547;183,9587932;121,5608412;118,3175248;174,3780516;211,2140584;365,3581972;164,8786493;301,5954399;834,487708;85,11181565;194,3571637;228,5218067;119,0334484;158,1465228;194,6661476
('б', 'ё', 'р');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,713045167;0;0;0
('д', 'у', 'д');0;0;0;0;0;0;0;19,71958747;0;0;0;87,93527963;60,31908798;0;0;0;0;0;0;0
(' ', 'о', 'р');200,0666889;11,64523943;0;0;0;0;54,02704053;39,43917493;116,2520344;77,44515475;87,68596732;230,830109;271,4358959;66,75901664;21,27795391;64,78572123;142,8261292;119,0334484;0;0
"('е', '!', '""')";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,713045167;0;0;0
('?', ' ', 'с');0;0;0;0;0;0;0;0;0;0;14,61432789;0;0;0;0;0;0;0;0;0
('В', 'ы', 'р');0;0;0;58,19028222;0;0;0;19,71958747;19,37533907;0;29,22865577;32,97572986;0;0;0;0;0;0;0;0
('С', 'С', ',');0;0;0;0;0;0;27,01352027;0;0;0;0;0;0;0;0;0;0;0;0;0
('д', 'и', ':');0;0;0;0;0;0;0;0;0;7,040468614;0;0;0;0;0;0;0;0;39,53663069;0
"('ы', '!', '""')";0;0;0;0;0;0;0;19,71958747;0;0;0;0;0;0;0;0;5,713045167;0;0;0
('!', '\n', 'П');133,3777926;11,64523943;0;232,7611289;0;0;54,02704053;157,7566997;0;35,20234307;102,3002952;10,99190995;90,47863196;0;85,11181565;259,1428849;194,2435357;66,12969356;39,53663069;0
('—', '\n', 'К');0;0;0;0;0;0;0;0;0;0;0;0;0;0;42,55590782;0;28,56522584;13,22593871;0;0
('п', 'о', '—');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,713045167;0;0;0
('р', ' ', '7');0;0;0;0;0;0;0;0;0;0;0;0;30,15954399;0;0;0;0;0;0;0
(' ', '«', 'э');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11,42609033;0;0;0
('л', 'ф', 'о');0;0;0;0;0;0;13,50676013;0;0;0;0;0;0;0;0;0;0;0;0;0
('р', '-', 'к');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64,88871585
('ь', 'к', 'с');0;0;0;0;0;0;0;0;0;0;0;0;30,15954399;0;0;0;0;0;0;0
('ы', 'ш', '\n');66,6888963;11,64523943;0;0;0;0;0;0;19,37533907;0;0;0;0;0;0;0;0;0;0;0
('К', 'о', 'л');0;11,64523943;0;0;45,5145419;0;40,5202804;39,43917493;77,50135627;49,2832803;14,61432789;43,96763982;30,15954399;33,37950832;0;0;79,98263234;13,22593871;79,07326138;0
('б', 'ё', 'т');0;0;0;0;0;0;0;0;0;0;0;0;0;16,68975416;0;64,78572123;5,713045167;26,45187742;0;0
('р', 'м', 'ы');0;0;0;0;0;0;0;39,43917493;0;21,12140584;0;43,96763982;30,15954399;0;0;0;22,85218067;0;0;0
('к', ' ', 'ц');66,6888963;0;0;0;0;91,97939662;13,50676013;0;0;0;14,61432789;32,97572986;0;16,68975416;21,27795391;0;11,42609033;0;0;0
('и', '-', 'а');0;0;0;0;0;0;0;0;251,8794079;0;0;0;0;0;0;0;0;0;0;0
('р', 'т', 'ф');0;0;0;0;22,75727095;0;0;0;0;7,040468614;0;0;0;0;0;0;0;0;0;0
('7', ' ', 'г');0;0;0;0;0;0;0;19,71958747;0;0;0;0;0;0;0;0;0;0;0;0
('л', '.', '.');133,3777926;0;0;0;0;0;0;0;0;0;14,61432789;0;30,15954399;0;0;0;0;0;0;64,88871585
('м', 'л', 'ю');0;58,22619713;228,2844424;58,19028222;22,75727095;0;81,0405608;19,71958747;38,75067814;28,16187445;146,1432789;32,97572986;90,47863196;0;0;0;11,42609033;0;0;0
('С', 'г', 'у');0;0;0;0;0;0;0;0;0;0;0;10,99190995;0;0;0;0;0;0;0;0
('С', 'в', 'о');66,6888963;34,93571828;0;0;22,75727095;0;27,01352027;19,71958747;0;35,20234307;29,22865577;32,97572986;0;0;0;0;68,55654201;0;0;0
('с', 'о', 'г');66,6888963;0;0;0;0;0;27,01352027;118,3175248;0;56,32374891;0;32,97572986;30,15954399;0;21,27795391;32,39286061;34,278271;0;0;64,88871585
('и', ' ', 'з');66,6888963;256,1952674;228,2844424;174,5708467;159,3008966;91,97939662;391,6960439;414,1113368;290,630086;253,4568701;248,4435741;538,6035878;361,9145279;216,9668041;255,3354469;161,9643031;377,060981;476,1337936;276,7564148;454,221011
('л', ' ', 'Ю');0;0;0;0;0;0;0;0;0;7,040468614;14,61432789;0;0;0;0;0;0;0;0;0
('о', '\n', 'П');333,4444815;93,16191541;0;58,19028222;45,5145419;0;108,0540811;157,7566997;329,3807642;91,52609198;248,4435741;87,93527963;241,2763519;133,5180333;106,3897696;356,3214667;79,98263234;185,163142;237,2197841;0
('Г', 'е', 'й');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;129,7774317
('е', ' ', '8');0;0;0;0;0;0;13,50676013;19,71958747;0;0;0;0;0;0;0;0;0;0;0;0
(' ', 'у', '!');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,22593871;0;0
(' ', 'в', 'е');1067,022341;1688,559717;1712,133318;989,2347978;1524,737154;1195,732156;1107,554331;907,1010234;581,2601721;1408,093723;833,0166896;824,3932466;753,9885997;1168,282791;829,8402026;1198,535843;942,6524526;1401,949503;1383,782074;519,1097268
('и', 'г', '\n');0;58,22619713;0;0;0;0;0;0;0;14,08093723;0;10,99190995;0;0;21,27795391;0;17,1391355;0;0;0
('з', 'ю', 'м');0;0;0;0;0;0;0;0;0;7,040468614;0;0;30,15954399;0;0;0;0;0;0;0
('и', 'р', 'а');466,8222741;256,1952674;114,1422212;407,3319756;637,2035865;0;148,5743615;197,1958747;213,1287298;359,0638993;438,4298366;186,8624692;150,7977199;100,138525;893,6740643;421,107188;194,2435357;436,4559775;118,6098921;64,88871585
('о', 'щ', 'у');0;0;0;0;22,75727095;0;0;19,71958747;0;21,12140584;0;21,98381991;60,31908798;33,37950832;63,83386174;0;17,1391355;13,22593871;0;0
('а', '\n', 'Э');0;11,64523943;0;58,19028222;136,5436257;0;13,50676013;39,43917493;0;63,36421752;29,22865577;32,97572986;30,15954399;50,06926248;63,83386174;64,78572123;22,85218067;26,45187742;39,53663069;0
('к', ' ', ' ');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64,88871585
('м', 'у', 'ю');0;0;0;0;0;0;13,50676013;0;155,0027125;7,040468614;0;0;0;0;21,27795391;0;17,1391355;0;0;0
('\n', '.', '.');0;0;114,1422212;0;0;0;0;19,71958747;0;0;0;0;30,15954399;0;0;0;0;0;0;0
('с', ' ', 'б');866,9556519;58,22619713;114,1422212;58,19028222;0;0;54,02704053;118,3175248;58,12601721;119,6879664;175,3719346;87,93527963;90,47863196;66,75901664;42,55590782;0;28,56522584;79,35563227;0;0
('я', ' ', 'м');333,4444815;372,6476616;114,1422212;756,4736689;591,6890446;275,9381898;297,1487229;256,3546371;290,630086;281,6187445;350,7438693;274,7977489;301,5954399;484,0028706;446,8370322;356,3214667;359,9218455;171,9372032;593,0494603;0
('м', ' ', 'А');0;0;0;0;0;0;0;0;0;0;14,61432789;10,99190995;0;0;0;0;0;13,22593871;0;0
('о', '\n', 'Т');66,6888963;128,0976337;0;116,3805644;68,27181284;0;67,53380067;98,59793733;38,75067814;105,6070292;146,1432789;208,8462891;90,47863196;116,8282791;191,5015852;32,39286061;85,69567751;238,0668968;355,8296762;0
('я', '\u205f', 'ш');0;0;0;0;0;0;0;0;19,37533907;0;0;0;0;0;0;0;0;0;0;0
('к', '\n', 'Э');0;11,64523943;0;58,19028222;22,75727095;0;0;0;0;7,040468614;0;21,98381991;30,15954399;0;85,11181565;0;5,713045167;0;0;0
('а', ' ', 'ю');0;11,64523943;0;0;0;0;0;0;0;0;0;10,99190995;0;100,138525;21,27795391;0;17,1391355;26,45187742;39,53663069;0
('и', 'у', 'м');66,6888963;0;0;0;0;0;0;0;19,37533907;14,08093723;0;0;60,31908798;0;0;0;17,1391355;0;0;0
('Б', 'а', 'м');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1167,996885
('Ц', 'е', 'н');0;0;114,1422212;0;0;0;0;0;0;0;0;0;0;33,37950832;0;0;0;0;0;0
('У', 'к', 'р');0;23,29047885;0;0;0;0;0;0;0;7,040468614;0;0;0;0;0;0;0;0;39,53663069;0
('о', 'з', 'л');0;11,64523943;0;58,19028222;22,75727095;0;40,5202804;0;0;0;14,61432789;54,95954977;90,47863196;0;21,27795391;0;22,85218067;0;0;0
('Н', 'а', ',');0;0;0;0;0;0;0;0;0;0;14,61432789;0;0;0;0;0;5,713045167;13,22593871;0;0
('з', 'д', 'ё');0;0;0;58,19028222;0;0;0;0;0;0;0;0;0;0;21,27795391;0;5,713045167;0;0;0
('н', '\n', 'Б');400,1333778;11,64523943;0;0;0;0;13,50676013;0;38,75067814;0;14,61432789;10,99190995;0;16,68975416;21,27795391;64,78572123;0;39,67781613;0;0
('а', 'т', 'е');200,0666889;197,9690702;0;290,9514111;318,6017933;0;162,0811216;295,793812;232,5040688;288,6592132;116,9146231;329,7572986;90,47863196;66,75901664;106,3897696;129,5714425;371,3479359;224,8409581;39,53663069;64,88871585
('з', 'я', '—');0;0;0;0;0;0;13,50676013;0;0;0;0;0;0;0;0;0;0;0;0;0
('(', 'с', 'ы');0;0;0;0;0;0;13,50676013;0;0;0;0;0;0;0;0;0;0;0;0;0
('\n', '«', 'О');0;0;0;0;0;0;0;0;0;28,16187445;0;0;0;0;0;0;171,391355;0;0;0
('и', 'ч', 'н');200,0666889;104,8071548;228,2844424;0;113,7863547;0;135,0676013;78,87834986;58,12601721;112,6474978;14,61432789;164,8786493;180,9572639;0;85,11181565;129,5714425;142,8261292;13,22593871;0;64,88871585
('Ч', 'а', 'в');0;0;0;0;0;0;0;0;0;0;0;0;0;0;21,27795391;0;0;13,22593871;0;0
('в', 'с', 'я');0;34,93571828;0;58,19028222;0;275,9381898;54,02704053;59,1587624;77,50135627;70,40468614;43,84298366;65,95145973;150,7977199;116,8282791;63,83386174;226,7500243;22,85218067;13,22593871;39,53663069;64,88871585
('в', 'я', 'ж');0;11,64523943;0;0;0;0;13,50676013;0;19,37533907;0;43,84298366;10,99190995;0;0;0;32,39286061;5,713045167;26,45187742;39,53663069;0
('С', 'г', 'о');0;11,64523943;0;0;0;0;0;19,71958747;0;0;0;0;0;0;21,27795391;0;0;0;0;0
('М', 'ы', '\n');0;0;0;0;0;0;0;0;0;7,040468614;0;0;0;0;0;0;0;0;0;0
('и', 'х', '\n');0;46,5809577;0;0;113,7863547;183,9587932;81,0405608;177,4762872;38,75067814;204,1735898;43,84298366;43,96763982;60,31908798;133,5180333;42,55590782;32,39286061;74,26958718;92,58157098;0;129,7774317
('у', 'ф', 'а');0;0;0;0;0;0;13,50676013;0;0;0;0;0;30,15954399;0;0;0;0;0;0;0
(' ', 'ж', 'е');533,5111704;477,4548165;456,5688848;465,5222578;659,9608575;735,8351729;567,2839256;650,7463864;290,630086;767,4110789;862,2453453;351,7411185;512,7122478;534,0721331;1234,121327;712,6429335;805,5393686;674,5228743;276,7564148;1622,217896
('ы', 'б', 'у');0;0;0;0;0;0;13,50676013;0;0;0;0;0;0;0;0;0;28,56522584;0;0;129,7774317
('а', 'к', 'в');0;0;0;0;0;0;13,50676013;0;19,37533907;14,08093723;0;0;0;0;21,27795391;0;5,713045167;0;0;0
('О', '\n', 'Н');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,713045167;0;0;0
('з', 'о', ' ');133,3777926;0;0;116,3805644;0;0;0;0;0;28,16187445;14,61432789;0;0;0;21,27795391;0;11,42609033;0;0;0
(' ', 'м', 'ё');533,5111704;0;0;0;0;0;94,54732093;0;58,12601721;7,040468614;0;0;90,47863196;33,37950832;42,55590782;0;45,70436134;0;0;0
(' ', 'с', 'в');800,2667556;1083,007267;684,8533272;756,4736689;910,2908379;1379,690949;891,4461688;1045,138136;1026,892971;1203,920133;1549,118756;1066,215266;573,0313358;1652,285662;1042,619742;356,3214667;1039,77422;1044,849158;790,7326138;519,1097268
('ы', ')', ' ');0;0;0;0;0;0;0;0;0;42,24281168;0;0;0;0;21,27795391;0;0;0;0;0
('н', 'е', '-');0;0;0;0;0;0;0;0;0;0;146,1432789;0;0;0;63,83386174;0;22,85218067;66,12969356;0;0
('и', 'о', 'э');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,713045167;0;0;0
('а', 'е', 'т');533,5111704;791,876281;228,2844424;1163,805644;887,533567;275,9381898;1013,00701;1577,566997;1375,649074;1063,110761;2411,364101;1154,150545;1387,339023;884,5569705;702,1724791;1716,821613;571,3045167;793,5563227;711,6593524;324,4435793
('х', ' ', 'н');133,3777926;93,16191541;0;116,3805644;204,8154385;91,97939662;283,6419628;78,87834986;96,87669534;168,9712467;277,6722299;153,8867394;211,1168079;116,8282791;106,3897696;388,7143274;279,9392132;251,2928355;39,53663069;129,7774317
"('""', 'С', 'л')";0;0;0;0;22,75727095;0;0;0;19,37533907;0;0;10,99190995;0;0;0;0;5,713045167;0;0;0
('т', ' ', 'М');0;0;114,1422212;0;0;0;13,50676013;0;0;0;14,61432789;0;0;0;0;0;5,713045167;26,45187742;0;0
('л', '\n', 'Х');0;0;0;174,5708467;0;0;40,5202804;0;0;7,040468614;0;0;0;0;21,27795391;0;0;26,45187742;0;64,88871585
('в', ' ', '3');0;0;0;0;0;0;13,50676013;0;0;0;0;0;0;0;0;0;0;0;0;0
('в', '\n', 'Х');0;0;0;0;0;0;0;0;0;0;0;21,98381991;30,15954399;16,68975416;21,27795391;0;0;0;0;0
('С', 'ж', 'а');0;0;0;0;0;0;0;19,71958747;0;0;0;0;0;0;0;0;0;0;0;0
('у', 'т', ' ');266,7555852;349,3571828;342,4266636;465,5222578;273,0872514;367,9175865;607,804206;591,587624;271,254747;774,4515475;540,7301318;538,6035878;784,1481437;550,7618873;383,0031704;388,7143274;874,0959106;648,0709968;513,9761989;713,7758744
('И', 'д', 'у');0;46,5809577;0;0;0;0;0;0;19,37533907;35,20234307;0;21,98381991;0;0;0;0;0;0;0;0
"('\n', '""', 'К')";66,6888963;0;114,1422212;0;0;0;0;0;0;0;0;0;0;0;0;0;5,713045167;0;0;0
('т', 'и', 'ф');0;11,64523943;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
('р', 'ь', 'т');0;11,64523943;0;0;0;0;0;0;0;0;0;10,99190995;0;0;0;0;0;0;0;0
('з', 'ч', 'е');0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,713045167;0;0;0
('е', 'з', 'д');0;197,9690702;228,2844424;523,71254;91,02908379;183,9587932;162,0811216;335,2329869;310,0054251;140,8093723;277,6722299;54,95954977;603,1908798;784,4184455;106,3897696;64,78572123;342,78271;132,2593871;197,6831534;64,88871585
('С', 'д', 'в');0;0;0;0;0;0;0;0;0;0;0;10,99190995;0;0;0;0;0;0;0;0
('6', ' ', '-');0;0;0;0;0;0;0;0;0;0;0;0;30,15954399;0;0;0;0;0;0;0
('\n', 'С', 'о');66,6888963;163,033352;0;58,19028222;68,27181284;91,97939662;135,0676013;78,87834986;406,8821204;239,3759329;204,6005904;87,93527963;60,31908798;33,37950832;63,83386174;97,17858184;211,3826712;105,8075097;197,6831534;0
('ю', 'м', '\n');0;0;0;0;0;0;13,50676013;0;0;0;0;0;30,15954399;0;0;0;0;0;0;0
('Э', 'р', 'у');0;0;0;0;0;0;0;0;0;0;0;10,99190995;0;0;0;0;0;0;0;0
